abdome	barriga
neurônio colinérgico	a pesquisar
neurônio dopaminérgico	neurônios que produzem e liberam dopamina 
neurônio gabaérgico	a pesquisar
neuropatia	a pesquisar
neuropatia autônoma	doenças que afetam os nervos que regulam os processos do corpo; a pessoa pode sentir tontura, ter problema para controlar a bexiga, intestino preso, entre outros sintomas
neuropatia autonômica	doenças que afetam os nervos que regulam os processos do corpo; a pessoa pode sentir tontura, ter problema para controlar a bexiga, intestino preso, entre outros sintomas
neuropática	
neuroplastia	a pesquisar
neuroproteção	mecanismos e estratégias usados para proteger os neurônios contra danos causados por doenças
neuropsicológico	a pesquisar
neuroquímico	a pesquisar
neurose	a pesquisar
neurotransmissor colinérgico	a pesquisar
neurotransmissor noradrenérgico	a pesquisar
neurotransmissor serotoninérgico	a pesquisar
neutrotransmissor	a pesquisar
nicotina	substância que tem no fumo e em cigarros e assemelhados
nictúria	a pesquisar
nistagmo	movimento descontrolado dos olhos que pode fazer o olho mover-se de um lado para outro, para cima e para baixo ou em círculos
nível sérico	a pesquisar
noctúria	fazer xixi  muitas vezes durante a noite
noradrenalina	a pesquisar
norepinefrina	a pesquisar
núcleo	a pesquisar
núcleo accumbem	a pesquisar
núcleo caudar	a pesquisar
núcleo lenticular	a pesquisar
núcleo lentiforme	a pesquisar
núcleo putâmem	a pesquisar
núcleos de o base	partes do cérebro que se ligam e que cuidam dos movimentos e dos pensamentos
nurr1	a pesquisar
nutrição	alimentação
nutricional	que tem a ver com alimentação
nutricionista	profissional formado em faculdade e que  cuida da alimentação de uma pessoa
nutrólogo	a pesquisar
obnubilação	a pesquisar
óbito	morte
obesidade	peso acima do normal
obstipação	prisão de ventre; dificuldade para evacuar, dificuldade para fazer cocô
ocluir	fechar
oclusão	fechamento
oclusão carotídea	a pesquisar
ocupacional	que tem a ver com o trabalho ou com o que a pessoa faz
odontologia	especialidade médica que cuida da saúde da boca das pessoas
odontológico	que tem a ver com a saúde da boca de uma pessoa
odontólogo	profissional graduado que cuida da saúde da boca de uma pessoa
oleaginoso	ricas em óleos ou gorduras
oftálmico	dos olhos
oftalmologia	parte da medicina que cuida das doenças e tratamento dos olhos
oftalmológico	médico que cuida das saúde dos olhos das pessoas
oftalmologista	médico especializado nas doenças e tratamento dos olhos
oftalmoparesia	a pesquisar
oftalmoparesia vertical suprir	dificuldade para olhar para baixo
olfanação	a pesquisar
olfativo	que tem a ver com a capacidade de sentir cheiros
olfato	um dos cinco sentidos; processo de sentir cheiros
oligocinesia	a pesquisar
oligúria	diminuição ou ausência de urina
orientação alopsíquica	a pesquisar
orientação espacial	capacidade de se orientar no espaço ou ambiente
orientação temporal	capacidade de se orientar no tempo ou épocas
ortodontista	dentista que cuida do posicionamento correto dos dentes
ortopneia	dificuldade de respirar a menos que esteja de pé
ossififcação	processo de formação do osso
osteo	relacionado ao osso
osteopatia	a pesquisar
osteopenia	problema de saúde em que os ossos diminuem e enfraquecem
osteoporose	doença em que os ossos ficam porosos e fracos
otite	infecção no ouvido
palato	céu da boca
paladar	sentir gostos
palato duro	a pesquisar
palato mole	a pesquisar
palidectomia	a pesquisar
palidotomia	a pesquisar
palilalia	a pesquisar
palpação	apalpar (tocar) com a palma da mão ou com os dedos
pálpebra	parte do olho acima dos cílios ou pestanas
palpitação	batimento acelerado do coração
pâncreas	a pesquisar
pancreatite	a pesquisar
pandemia	quer dizer que uma doença se espalhou para vários países, como aconteceu com o coronavírus
parada cardiorrespiratória	a pesquisar
paralisia	perda da capacidade de movimento de um músculo, que pode ser causada por doenças no próprio músculo ou pot doenças no sistema nervoso
paralisia agitante	como a Doença de Parkinson era chamada antigamente
paralisia cerebral	a pesquisar
paralisia facial	a pesquisar
paralisia supranuclear progressiva	a pesquisar
parâmetros cinemático	a pesquisar
parâmetros eletromiográfico	a pesquisar
parâmetros espaço temporal	a pesquisar
paranoia	a pesquisar
parapesia	paralisia (perda da capacidade de movimento) na metade de baixo do corpo
paraplegia	paralisia (perda da capacidade de movimento) na metade de baixo do corpo
parassimpatomimético	a pesquisar
parênquia hepático	tecido do fígado
parênquima cerebral	tecido do cérebro
parestesia	sensação de latejamento, formigamento ou dormência em uma região do corpo
parkinsoniano	pessoa que tem a Doença de Parkinson
parkinsonismo	síndrome, conjunto de sintomas, em que ocorrem tremores e lentidão de movimentos semelhantes à Doença de Parkinson (DP). Não é o mesmo que DP.
paroxística	a pesquisar
patogênese	a pesquisar
patógeno	organismos como bactérias, vírus, fungos etc. que causam doenças se conseguirem entrar no corpo do hospedeiro (pessoa, animal); o mesmo que agente patogênico
patogenia	o que causa a doença
patologia	área da medicina que estuda as doenças e o que elas causam nos organismos; o mesmo que doença
patológico	relacionado a doença
patologista	médico que diagnostica doenças examinando tecidos e células com um microscópio; também realiza autópsias (*defifnição de autópsia)
pedículo cerebelar superior	a pesquisar
pelve	osso da bacia
perfusão	a pesquisar
pericardial	ao redor do coração
periodicidade	a pesquisar
períodos off	a pesquisar
periósteo	a pesquisar
períneo	
peristaltismo	a pesquisar
peritônio	camada que envolve a parte de dentro do abdômen
perna agitar	a pesquisar
pesticida	a pesquisar
pilates	conjunto de exercícios físicos, ministrados por proffional habiltado,  feitos de acordo com o método inventado por Joseph Pilates em 1920
pink1	a pesquisar
piridoxina	vitamina B-6, atua no sistema nervoso para produzir hormônios importantes, encontrada em miúdos, carnes, castanhas e soja.
placebo	a pesquisar
plaquetária	a pesquisar
plaqueta	a pesquisar
plasma	a pesquisar
plasmócito	a pesquisar
plasticidade	a pesquisar
pleura	estrutura que fica ao redor do pulmão
pleura visceral	a pesquisar
pneumologia	a pesquisar
pneumologista	a pesquisar
pneumonia	a pesquisar
polidipsia	sensação de muita sede (sintoma da diabetes)
polineurite	a pesquisar
pólipo	a pesquisar
polissintomática	a pesquisar
poliúria	a pesquisar
porção reticular	a pesquisar
portador	pessoa que tem alguma doença, condição ou necessidade especial. Em vez de "portador [da Doença] de Parkinson", use "pessoa com Parkinson"
pós operatório	a pesquisar
potência de gama	a pesquisar
pramipexol	a pesquisar
praxia	
prejuízo funcional	a pesquisar
pré mórbido	a pesquisar
presbiopia	problema de visão (olhos) causado pelo envelhecimento (piora com a idade)
prescrição	receita
pressão sanguínea	pressão feita pelo sangue contra as paredes dos vasos; pressão do sangue
procedimento estereotáxico	procedimento de exame em que um aro é fixado em torno da cabeça do paciente para que o médico possa, com a ajuda de um exame de imagem, direcionar, com precisão, um instrumento até um ponto exato dentro do cérebro da pessoa.
prognóstico	avaliação, feita pelo médico, com base em dados científicos, sobre como uma doença ou um tratamento poderá se desenvolver para uma pessoa.
pronação	a pesquisar
prontuário médico	a pesquisar
propriocepção	a pesquisar
propulsão	a pesquisar
prosódia	a pesquisar
prosopagnosia	incapacidade de reconhecer rostos conhecidos, como de amigos 
próstata	a pesquisar
proteico	a pesquisar
proteína	a pesquisar
proteína g	a pesquisar
protocolo clínico	a pesquisar
protrusão	descolamento de um órgão para a frente
proximal	mais próximo ao membro
prurir	coceira
psicogênico	a pesquisar
psicologia	a pesquisar
psicólogo	a pesquisar
psicose	a pesquisar
psicossomático	a pesquisar
psicoterapeuta	a pesquisar
psicoterapêutico	a pesquisar
psicoterápico	a pesquisar
psicotrópico	a pesquisar
psiquiatra	a pesquisar
psiquiatria	a pesquisar
psns	a pesquisar
púbis	a pesquisar
pulmões	a pesquisar
pulmonar	relacionado aos pulmões
pulsátil	a pesquisar
punção	a pesquisar
pupilo	a pesquisar
pupilo dilatar	a pesquisar
purgativo	laxante forte
purina	componentes presentes no nosso organismo e em alimentos como carne vermelha, frutos do mar, peixes, certos grãos como ervilha, lentilha e feijão, em bebidas alcoólicas, principalmente cerveja
pústula	a pesquisar
putâmen	a pesquisar
quadríceps	músculo da coxa
queimação	a pesquisar
queloide	a pesquisar
quimioluminescência	a pesquisar
quimioterapia	a pesquisar
radiofrequência	a pesquisar
radiografia	a pesquisar
radioterapia	a pesquisar
raio x	imagem dos ossos
raio x	imagem dos ossos
rasagilina	a pesquisar
rash	a pesquisar
reabilitação	a pesquisar
reação alérgica	a pesquisar
reações adverso	a pesquisar
receptor adrenérgico	a pesquisar
receptor colinérgico	a pesquisar
receptor dopaminérgico	a pesquisar
receptor pós sináptico	a pesquisar
redundância	capacidade de mais de uma área do cérebro de realizar a mesma função
reflexo de estiramento	a pesquisar
reflexo de flexão	a pesquisar
reflexo de flexão	a pesquisar
reflexo de retirada	a pesquisar
reflexo miotático	a pesquisar
reflexo	reação automática (sem pensar) do corpo
refluxo	a pesquisar
refluxo gastroesofágico	a pesquisar
regurgitação	retorno de sólidos ou fluidos para a boca vindos do estômago
remissão	a pesquisar
reserpina	a pesquisar
respiração diafragmática	a pesquisar
resposta imunológica	a pesquisar
ressonância	a pesquisar
ressonância magnética	exame de imagem de alta definição usado para detectar vários tipos de doenças 
retardo mental	condição, geralmente irreversível, caracterizada por uma capacidade intelectual inferior à normal com dificuldades de aprendizado e de adaptação social, que normalmente está presente desde o nascimento ou que se manifesta nos primeiros anos da infância
retenção fecal	a pesquisar
retenção urinária	a pesquisar
retrocolo	a pesquisar
retropulsão	tendência de cair para trás
retrovírus	um tipo de vírus, o HIV é um exemplo de retrovírus
ribossomos	estruturas responsáveis pela síntese (produção) de proteínas nas células
rigidez	endurecimento; duro
rigidez muscular	quando os músculos ficam rígidos/duros
rinite	inflamação da parte de dentro do nariz, que causa coceira, olhos lacrimejantes, espirros etc. 
rim	funcionam como um sistema de filtragem do nosso corpo, elimitando substâncias tóxicas
ritmo circadiano	a pesquisar
rna	a pesquisar
ropinirol	a pesquisar
rotigotina	a pesquisar
saturação	a pesquisar
seborreia	produção exagerada de sebo ou de gordura na pele ou couro cabeludo
secreção	a pesquisar
secretar	a pesquisar
sedação	técnica na qual o médico aplica um medicamento que faz com que o paciente durma e não sinta dor durante procedimentos médicos
sedar	anestesiado
sedar	anestesiar
sedativo	que anestesia
sedentário	pessoa que passa muito tempo inativa, isto é, sem fazer exercícios físicos
sedentarismo	situação em que a pessoa não pratica qualquer tipo de atividade física regularmente, além de permanecer muito tempo sentada e não ter disposição para realizar atividades simples do dia a dia, o que tem influência direta na saúde e bem-estar da pessoa
selegilina	remédio para Doença de Parkinson
semiologia	a pesquisar
semiológico	a pesquisar
sequenciamento de exoma	exame que identifica doenças genéticas (doenças transmitidas dos pais para os filhos)
sequenciamento de dna	a pesquisar
sepse	inflamação em todo o corpo
sépsis	inflamação em todo o corpo
serotonina	hormônio que  regula o humor, sono, apetite, ritmo do coração, temperatura do corpo, sensibilidade e pensamento;  em baixa quantidade,  pode causar mau humor, dificuldade para dormir, ansiedade ou até depressão
sialorreia	saliva que escorre da boca (babar)
sinal vital	a pesquisar
sinal de babinski	a pesquisar
sinapse	a pesquisar
sinapse colinérgica	a pesquisar
sincinesia	a pesquisar
síncope	desmaio
síndrome de shy drager	a pesquisar
síndrome extrapiramidal	a pesquisar
síndrome parkisoniana	o mesmo que parksinsonismo, conjunto de sintomas semelhantes à Doença de Parkinson; um conjunto de sintomas caracteriza uma síndrome e não corresponde a uma doença específica.
sinemet	medicamento para Doença de Parkinson
sintetização	produção; agrupamento
sintetizar	produzir; agrupar
sintoma	sinais que confirmam doenças
sintoma autonômico	intolerância ao calor, suor excessivo, constipação intestinal, entre outros
sintoma neurovegetativo	náuseas, vômitos, palidez
sintomático	que apresenta sintomas; sinais de uma condição ou doença
sintomatologia	sintomas ou sinais de uma condição ou de uma doença
sinucleína	a pesquisar
siringomesencefalia	a pesquisar
sistema cardiovascular	a pesquisar
sistema digestivo	órgãos que trabalham juntos para transformar os alimentos que comemos em combustível para que o nosso corpo funcione; são eles:  boca, faringe, esôfago, estômago, intestino delgado, intestino grosso, reto, fígado e pâncreas
sistema digestório	órgãos que trabalham juntos para transformar os alimentos que comemos em combustível para que o nosso corpo funcione; são eles:  boca, faringe, esôfago, estômago, intestino delgado, intestino grosso, reto, fígado e pâncreas
sistema endócrino	sistema que mantém o equilíbrio químico do corpo, trabalha em conjunto com o sistema nervoso para regular os outros sistemas. Isso é feito enviando mensageiros chamados hormônios através do corpo via corrente sanguínea.
sistema esquelético	a pesquisar
sistema excretor	a pesquisar
sistema extrapiramidal	a pesquisar
sistema imune	defende o nosso corpo contra infecções e outras doenças; ele é formado por vários órgãos, células e proteínas chamadas anticorpos. O sistema imune identifica, ataca e destrói germes e outras sustâncias que tentam atacar o nosso corpo.
sistema imunológico	defende o nosso corpo contra infecções e outras doenças; ele é formado por vários órgãos, células e proteínas chamadas anticorpos. O sistema imunológico identifica, ataca e destrói germes e outras sustâncias que tentam atacar o nosso corpo
sistema límbico	responde pelos comportamentos instintivos, pelas emoções profundamentes arraigadas e pelos impulsos básicos, como sexo, ira, prazer e sobrevivência
sistema linfático	a pesquisar
sistema motor extrapiramidal	a pesquisar
sistema muscular	a pesquisar
sistema nervoso autônomo	parte do sistema nervoso que controla funções como a respiração, circulação do sangue, temperatura e digestão
sistema nervoso central	a pesquisar
sistema nervoso parassimpático	a pesquisar
sistema nervoso periférico	nervos; liga o sistema nervoso central aos outros órgãos do corpo para transportar as informações
sistema nervoso visceral	parte do sistema nervoso que controla funções como a respiração, circulação do sangue, temperatura e digestão
sistema neurovegetativo	parte do sistema nervoso que controla funções como a respiração, circulação do sangue, temperatura e digestão
sistema parassimpático	a pesquisar
sistema reprodutor	órgãos que trabalham juntos pela reprodução (geração de filhos); na mulher são a vagina, os ovários, as trompas e o útero e no homem são os testículos, o pênis, o escroto e a prostata  
sistema respiratório	formado pelo nariz, faringe, laringe, traqueia, brônquios e pulmões, nesta ordem
sistema simpático	a pesquisar
sistema tegumentar	a pesquisar
sistema urinário	órgãos que trabalham em conjunto para produzir, guardar e eliminar a urina; esses órgãos são dois rins, dois ureteres, uma bexiga e uma uretra
sistole	a pesquisar
snc	Sistema Nervoso Central
sobrar	a pesquisar
sonambulismo	quando a pessoa anda e fala dormindo
sonho vívido	sonhos que parecem reais
sono rem	fase do sono em que a pessoa sonha
sonolência	grande vontade de dormir; sentir muito sono
subcostal	abaixo das costelas
subcutâneo	debaixo da pele
sublingual	debaixo da língua; um remédio sublingual deve ser colocado debaixo da língua até derreter
substância cinzento	responsável por interpretar os impulsos nervosos das regiões do corpo até o encéfalo, produzir impulsos e coordenar atividades musculares e reflexos; o mesmo que massa cinzenta;
substância negro	porção do cérebro que é responsável pela produção de dopamina (*Ver dopamina no glossário)
substância nigra	porção do cérebro que é responsável pela produção de dopamina (*Ver dopamina no glossário)
suceptibilidade genética	a pesquisar
sudorese	suor ou transpiração
sujeito controlo	a pesquisar
suplementação	que completa
sutura	quando o médico ou dentista "costura" a pele, os músculos músculos, vasos sanguíneos e outros tecidos do corpo humano, após uma lesão; dar pontos
tálamo	a pesquisar
talamotomia	a pesquisar
taquicardia	disparos da batida do coração
taquifemia	a pesquisar
taquilalia	a pesquisar
tarefa motor fino	a pesquisar
taxa de letalidade	representa o risco que as pessoas com uma doença têm de morrer por essa mesma doença
tdh	a pesquisar
tecido adiposo	tecido de gordura
tecido conectivo	sustenta e cobre as estruturas do corpo, mantém os orgãos no lugar e conecta as partes do corpo entre si
tecido conjuntivo	sustenta e cobre as estruturas do corpo, mantém os orgãos no lugar e conecta as partes do corpo entre si
tecido epitelial	encontrado na pele e no revestimento dos vasos sanguíneos; forma a cobertura das superfícies internas e externas do corpo e o revestimento dos tratos digestivo, respiratório e urinário
tecido fibroso	a pesquisar
tecido mole	a pesquisar
tecido muscular	proporciona movimento; sua função principal é contrair-se
tecido muscular liso	apresenta uma contração lenta e involuntária, que não depende da vontade do indivíduo, e forma a musculatura dos órgãos internos, como a bexiga, estômago, intestino e vasos sanguíneos
tecido muscular estriar esquelético	apresenta uma contração rápida e voluntária, ou seja, obedece a nossa vontade, e está ligado aos ossos e atua na movimentação do corpo
tecido estriado cardíaco	a pesquisar
tecido nervoso	conduz impulsos de e para o cérebro e é composto de células nervosas chamadas de neurônios
telencéfalo	a pesquisar
tendão	tecido conectivo que une os músculos aos ossos
tendinite	inflamação nos tendões
terapêutica	que trata
terapêutica	tratamento
terapia ocupacional	área de conhecimento que beneficia pessoas de todas as idades que tenham alguma dificuldade ou incapacidade de realizar atividades do dia a dia
terapeuta ocupacional	profissional formado em curso superior que cuida do bem-estar de pessoas que tenham alguma limitação ou dificuldade para as suas atividades físicas do dia a dia
terapia protetora	a pesquisar
terapia sintomática	a pesquisar
termocoagulação	tipo de tratamento para varizes
termo de consentimento	documento em que a pessoa concorda com algo
testosterona	hormônio  sexual masculino
tetania	a pesquisar
tímpano	tipo de pele fina que fica dentro do ouvido separando a parte de dentro do ouvido da parte de fora
tique	quando a pessoa repete um movimento ou som algumas vezes ou sem parar
tireoide	localizada no pescoço, age na função de órgãos importantes como o coração, cérebro, fígado e rins, além de interferir em várias outras funções como o crescimento das crianças e adolescentes, ciclo menstrual da mulher e muito mais
tirosina	substância encontrada em carnes brancas e vermelhas e frutos do mar e que forma a dopamina. Ver dopamina no Glossário.
tolcapone	medicamento para Doença de Parkinson
tomografia	tipo de exame de diagnóstico por imagem
tomografia computadorizada	tipo de exame de diagnóstico por imagem
tônus muscular	condição dos músculos que permite a boa sustentação do corpo da pessoa, ajuda na sustentação dos órgãos dentro do corpo  e favorece a movimentação da pessoa
tônus postural	a pesquisar
topografia de córnea	exame de olhos para analisar formato e curvatura da córnea
topografia corneana	exame de olhos para analisar formato e curvatura da córnea
tórax	peito
torácico	do peito
torcicolo	torcida dolorosa do pescoço
torpor	sensação de sono
toxicologia	a pesquisar
toxina botulínica	a pesquisar
toxina	veneno, droga
tpm	tensão pré-mestrual
transdução	algo que pode ser venenoso
transecção	a pesquisar
transtorno bipolar	doença  em que a pessoa tem alterações repentinas de humor, que varia do muito animado até extremamente infeliz e deprimido
transtorno amnéstico	a pesquisar
transtorno conversivo	a pesquisar
transtorno distímico	a pesquisar
transtorno de o déficit de atenção	doença em que a pessoa não consegue concentrar a atenção nas coisas que precisa fazer
transtorno de o humor	problema de saúde mental em que a pessoa sofre com períodos prolongados de muita tristeza (depressão) ou de muita alegria ou euforia (mania), ou as duas coisas
transtorno	a pesquisar
traqueia	órgão do sistema respiratório que filtra, umedece e conduz o ar aos pulmões
traqueostomia	corte no tubo pelo qual passa o ar quando a pessoa respira
traqueotomia	corte no tubo pelo qual passa o ar quando a pessoa respira
tratamento medicamentoso	tratamento que envolve o uso de medicamentos
tratamento reabilitacional	tratamento auxiliar
tratamento adjuvante	tratamento auxiliar
tratamento cirúrgico	tratament que envolve uma cirurgia (operação) 
tratamento sintomático	a pesquisar
trato digestivo	a pesquisar
trato respiratório	a pesquisar
trato urinário	conjunto dos  órgãos (rins, ureteres, bexiga e uretra) que fazem o sistema que produz a urina funcionar
trato córtico espinal	a pesquisar
trato gastrointestinal	a pesquisar
trauma craniano	lesão (machucado) da cabeça
tremor refratário	a pesquisar
tremor	a pesquisar
tremor cinético	a pesquisar
tremor de ação	tremedeira que acontece quando a pessoa está em movimento
tremor de repouso	tremedeira que acontece quando a pessoa está parada
tremor distal	a pesquisar
tremor essencial	problema neurológico em que ocorrem tremores no corpo sem que a pessoa consiga controlar. Não é o mesmo que Doença de Parkinson
tremor postural	a pesquisar
triagem	separação, escolhas, filtragem
tricíclico	a pesquisar
trombócitos	a pesquisar
trombose	formação de um coágulo de sangue dentro do coração ou vasos
trompa de eustáquio	a pesquisar
tronco cerebral	encontra-se embaixo do cérebro, na frente do cerebelo. Ele liga o cérebro à medula espinhal e controla funções involuntárias como respiração, digestão, ritmo cardíaco e pressão arterial
tronco encefálico	parte do cérebro responsável pelas funções involuntárias (aquelas que fazemos sem perceber), como respiração, ritmo dos batimentos cardíacos e pressão arterial etc. 
tronco de o encéfalo	parte do cérebro responsável pelas funções involuntárias (aquelas que fazemos sem perceber), como respiração, ritmo dos batimentos cardíacos e pressão arterial etc. 
tuba auditivo	a pesquisar
tubo digestivo	é composto pela boca, faringe, esôfago, estômago, intestino delgado e intestino grosso
tubo digestório	é composto pela boca, faringe, esôfago, estômago, intestino delgado e intestino grosso
tumor	a pesquisar
turvação visual	dificuldade para enxergar com niditez
tutela	guarda, responsabilidade
úlcera	ferida, machucado
úlcera gástrica	ferida, machucado dentro do estômago da pessoa
úlcera péptica	ferida, machucado dentro do estômago da pessoa
ultrassom	a pesquisar
umbilical	relacionado ao umbigo
unilateral	de um lado só
ureia	susbtância que tem na urina
ureteres	tubos que levam a urina dos rins para a bexiga
urologia	parte da medicina que cuida do sistema  urinário masculino e feminino e do sistema reprodutivo masculino
urologista	médico especializado em tratar doenças do sistema urinário masculino e feminino e masculino e do sistema reprodutivo masculino
uso oral	pela boca
valor acromático	a pesquisar
valor cromático	a pesquisar
válvula mitral	a pesquisar
variação fenotipica	a pesquisar
variz	inchaço anormal das veias que ocorre normalmente nas pernas
vas	a pesquisar
vascularização	a pesquisar
vascularização cerebral	a pesquisar
vasoconstrição	a pesquisar
vasoconstritor	a pesquisar
vasodilatação	a pesquisar
vasodilatador	a pesquisar
vaso capilar	os menores vasos sanguíneos; o mesmo que capilares e capilares sanguíneos
vaso sanguíneo	a pesquisar
veia cavar	maior veia do corpo
veia	a pesquisar
veia pulmonar	a pesquisar
velocidade autosselecionadar	a pesquisar
venoso	que é das veias
ventilação	auxílio para entrada de ar
ventrículo	cavidades, espaços
ventrículo cardíaco	partes do  coração  que são como  câmaras que recebem e bombeiam sangue
ventrículo cardíaco direito	a pesquisar
ventrículo cardíaco esquerdo	a pesquisar
vértebras	ossos da coluna
vertigem	tontura, sensação de cair
vesícula	pequena bolsa localizada abaixo do fígado que armazena a bile. Ver bile no glossário.
via aferente	ver fibras sensoriais 
via eferente	a pesquisar
via nigroestriada	a pesquisar
via oral	pela boca
vídeolaparoscopia	a pesquisar
vírus	partícula basicamente proteica que pode infectar organismos vivos, causando doenças
vísceras	órgãos, tripas, intestinos
visomotor	a pesquisar
wearing off	a pesquisar
xerostomia	baixa produção de saliva, boca seca
zigoto	célula resultande da união do espermatozóide e do óvulo, fase inicial do feto
